"0","set.seed(1303)"
"0","rnorm(50)"
"1"," [1]"
"1"," -1.1439763145"
"1","  1.3421293656"
"1","  2.1853904757"
"1","  0.5363925179"
"1","  0.0631929665"
"1","  0.5022344825"
"1"," -0.0004167247"
"1","
"
"1"," [8]"
"1","  0.5658198405"
"1"," -0.5725226890"
"1"," -1.1102250073"
"1"," -0.0486871234"
"1"," -0.6956562176"
"1","  0.8289174803"
"1","  0.2066528551"
"1","
"
"1","[15]"
"1"," -0.2356745091"
"1"," -0.5563104914"
"1"," -0.3647543571"
"1","  0.8623550343"
"1"," -0.6307715354"
"1","  0.3136021252"
"1"," -0.9314953177"
"1","
"
"1","[22]"
"1","  0.8238676185"
"1","  0.5233707021"
"1","  0.7069214120"
"1","  0.4202043256"
"1"," -0.2690521547"
"1"," -1.5103172999"
"1"," -0.6902124766"
"1","
"
"1","[29]"
"1"," -0.1434719524"
"1"," -1.0135274099"
"1","  1.5732737361"
"1","  0.0127465055"
"1","  0.8726470499"
"1","  0.4220661905"
"1"," -0.0188157917"
"1","
"
"1","[36]"
"1","  2.6157489689"
"1"," -0.6931401748"
"1"," -0.2663217810"
"1"," -0.7206364412"
"1","  1.3677342065"
"1","  0.2640073322"
"1","  0.6321868074"
"1","
"
"1","[43]"
"1"," -1.3306509858"
"1","  0.0268888182"
"1","  1.0406363208"
"1","  1.3120237985"
"1"," -0.0300020767"
"1"," -0.2500257125"
"1","  0.0234144857"
"1","
"
"1","[50]"
"1","  1.6598706557"
"1","
"
